Key,Host_Key,Distrito,Barrio,Tipo_Inmueble,Precio,Min_Nights,Anuncios_Totales_del_Host,Capacidad,Dormitorios,Camas,Baños,Precio/Capacidad
903396,4827501,Casco_Antiguo,Feria,Inmueble_Completo,73,1,5,2.0,1.0,1.0,1.0,36.5
903399,4827501,Casco_Antiguo,Feria,Inmueble_Completo,81,1,5,2.0,1.0,1.0,1.0,40.5
903408,4827501,Casco_Antiguo,Feria,Inmueble_Completo,73,1,5,2.0,1.0,1.0,1.0,36.5
266016,1391956,Nervion,San Bernardo,Inmueble_Completo,107,2,5,6.0,2.0,4.0,1.0,17.833333333333332
903791,4813585,Casco_Antiguo,San Lorenzo,Inmueble_Completo,142,2,23,6.0,2.0,4.0,1.0,23.666666666666668
272934,1428269,Casco_Antiguo,Santa Cruz,Inmueble_Completo,127,1,4,6.0,2.0,3.0,1.0,21.166666666666668
273981,1428269,Casco_Antiguo,Alfalfa,Inmueble_Completo,136,1,4,6.0,2.0,3.0,1.0,22.666666666666668
288900,1501115,Cerro_Amate,El Cerro,Inmueble_Completo,53,30,1,2.0,1.0,1.0,1.0,26.5
904975,4813585,Casco_Antiguo,Arenal,Inmueble_Completo,156,2,23,6.0,2.0,5.0,2.0,26.0
905124,4790497,Casco_Antiguo,Santa Cruz,Inmueble_Completo,93,3,33,3.0,,3.0,1.0,31.0
298673,264346649,Casco_Antiguo,"Encarnación, Regina",Inmueble_Completo,76,2,1,3.0,1.0,2.0,1.0,25.333333333333332
701999,3603333,Triana,Triana Oeste,Inmueble_Completo,164,4,2,6.0,2.0,3.0,1.0,27.333333333333332
905127,4790497,Casco_Antiguo,Arenal,Inmueble_Completo,113,3,33,3.0,,2.0,1.0,37.666666666666664
315971,1188880,Casco_Antiguo,Museo,Habitacion_Privada,40,3,2,1.0,1.0,1.0,1.0,40.0
702998,3609455,Casco_Antiguo,San Bartolomé,Inmueble_Completo,59,3,1,2.0,1.0,1.0,1.0,29.5
321192,1643754,Nervion,an Roque,Inmueble_Completo,77,3,1,4.0,2.0,3.0,1.0,19.25
914381,4907659,Casco_Antiguo,San Julián,Inmueble_Completo,98,2,1,6.0,3.0,4.0,1.0,16.333333333333332
332196,1693356,Casco_Antiguo,San Julián,Inmueble_Completo,132,4,2,,,,,
923141,3540583,Sur,El Porvenir,Habitacion_Privada,39,1,14,2.0,1.0,1.0,1.0,19.5
927430,4813585,Casco_Antiguo,San Lorenzo,Inmueble_Completo,142,2,23,6.0,2.0,3.0,1.0,23.666666666666668
705652,3625249,Casco_Antiguo,San Vicente,Habitacion_Privada,42,2,4,2.0,1.0,2.0,1.0,21.0
705697,3625534,Triana,Triana Este,Habitacion_Privada,25,3,1,1.0,1.0,1.0,1.0,25.0
343997,879606,Casco_Antiguo,Alfalfa,Inmueble_Completo,99,3,2,2.0,1.0,1.0,1.0,49.5
714300,3678775,Casco_Antiguo,Alfalfa,Inmueble_Completo,101,2,2,2.0,1.0,1.0,1.0,50.5
721483,3625249,Casco_Antiguo,San Lorenzo,Habitacion_Privada,42,2,4,2.0,4.0,6.0,0.0,21.0
721598,3625249,Casco_Antiguo,San Vicente,Habitacion_Privada,26,2,4,1.0,1.0,1.0,1.0,26.0
927591,2584848,Triana,Triana Casco Antiguo,Inmueble_Completo,73,3,3,4.0,1.0,1.0,1.0,18.25
930946,4813585,Casco_Antiguo,San Gil,Inmueble_Completo,144,2,23,6.0,2.0,3.0,1.0,24.0
931171,4813585,Casco_Antiguo,Arenal,Inmueble_Completo,156,2,23,6.0,2.0,5.0,2.0,26.0
931173,4813585,Casco_Antiguo,Arenal,Inmueble_Completo,156,2,23,6.0,2.0,4.0,2.0,26.0
721624,3625249,Casco_Antiguo,San Vicente,Habitacion_Privada,26,2,4,1.0,1.0,1.0,1.0,26.0
369170,1862118,Casco_Antiguo,Feria,Inmueble_Completo,145,2,3,4.0,2.0,4.0,,36.25
384727,1920069,Casco_Antiguo,Arenal,Habitacion_Privada,57,2,2,2.0,1.0,1.0,1.0,28.5
721753,3726424,Casco_Antiguo,Alfalfa,Inmueble_Completo,74,3,1,2.0,1.0,1.0,1.0,37.0
935836,4813585,Casco_Antiguo,Arenal,Inmueble_Completo,84,2,23,4.0,1.0,1.0,1.0,21.0
936871,2746843,Casco_Antiguo,Museo,Inmueble_Completo,192,2,1,2.0,1.0,1.0,1.0,96.0
394083,1428269,Nervion,San Bernardo,Inmueble_Completo,116,1,4,4.0,1.0,2.0,1.0,29.0
394239,1971198,Casco_Antiguo,Alfalfa,Inmueble_Completo,66,2,1,4.0,1.0,2.0,1.0,16.5
937355,2300263,Casco_Antiguo,"Encarnación, Regina",Inmueble_Completo,122,1,2,4.0,2.0,2.0,2.0,30.5
938631,1391956,Casco_Antiguo,Alfalfa,Inmueble_Completo,90,2,5,6.0,2.0,3.0,2.0,15.0
725287,1513237,Triana,Triana Este,Habitacion_Privada,34,2,1,2.0,1.0,1.0,1.0,17.0
398966,1992907,Casco_Antiguo,Feria,Inmueble_Completo,90,3,1,4.0,2.0,3.0,1.0,22.5
726220,3757143,Casco_Antiguo,San Vicente,Inmueble_Completo,144,3,1,7.0,2.0,4.0,2.0,20.571428571428573
938813,3540583,Sur,Huerta de la Salud,Habitacion_Privada,39,1,14,4.0,1.0,4.0,1.0,9.75
939437,4813585,Casco_Antiguo,San Lorenzo,Inmueble_Completo,84,2,23,4.0,1.0,1.0,1.0,21.0
